fishglob_system_id,survey_unit,species,ram_stockid,ram_stocklong,ram_region,ram_area,match_rule,confidence
FG|EBS|Atheresthes evermanni,EBS,Atheresthes evermanni,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,US Alaska,Bering Sea and Aleutian Islands,species+region,candidate (needs boundary check)
FG|EBS|Atheresthes stomias,EBS,Atheresthes stomias,ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,Bering Sea and Aleutian Islands,species+region,candidate (needs boundary check)
FG|EBS|Atheresthes stomias,EBS,Atheresthes stomias,ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,US Alaska,Gulf of Alaska,species+region,candidate (needs boundary check)
FG|EBS|Gadus macrocephalus,EBS,Gadus macrocephalus,PCODBS,Pacific cod Bering Sea,US Alaska,Bering Sea,species+region,candidate (needs boundary check)
FG|EBS|Gadus macrocephalus,EBS,Gadus macrocephalus,PCODGA,Pacific cod Gulf of Alaska,US Alaska,Gulf of Alaska,species+region,candidate (needs boundary check)
FG|EBS|Glyptocephalus zachirus,EBS,Glyptocephalus zachirus,REXSOLEGA,Rex sole Gulf of Alaska,US Alaska,Gulf of Alaska,species+region,candidate (needs boundary check)
FG|EBS|Hippoglossoides elassodon,EBS,Hippoglossoides elassodon,FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,US Alaska,Bering Sea and Aleutian Islands,species+region,candidate (needs boundary check)
FG|EBS|Hippoglossoides elassodon,EBS,Hippoglossoides elassodon,FLSOLEGA,Flathead sole Gulf of Alaska,US Alaska,Gulf of Alaska,species+region,candidate (needs boundary check)
FG|EBS|Limanda aspera,EBS,Limanda aspera,YSOLEBSAI,Yellowfin sole Bering Sea and Aleutian Islands,US Alaska,Bering Sea and Aleutian Islands,species+region,candidate (needs boundary check)
FG|EBS|Pleuronectes quadrituberculatus,EBS,Pleuronectes quadrituberculatus,ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,Bering Sea and Aleutian Islands,species+region,candidate (needs boundary check)
