fishglob_system_id,survey_unit,species,fishglob_event,ram_stockid,ram_stocklong,ram_region,ram_area,ram_eligible,ram_event,match_rule,confidence
FG|EBS|Atheresthes evermanni,EBS,Atheresthes evermanni,False,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,US Alaska,USA-NMFS-BSAI,False,False,species+region,candidate (needs boundary check)
FG|EBS|Atheresthes stomias,EBS,Atheresthes stomias,False,ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,USA-NMFS-BSAI,True,False,species+region,candidate (needs boundary check)
FG|EBS|Atheresthes stomias,EBS,Atheresthes stomias,False,ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,US Alaska,USA-NMFS-GA,True,False,species+region,candidate (needs boundary check)
FG|EBS|Clupea pallasii,EBS,Clupea pallasii,False,HERRPWS,Pacific herring Prince William Sound,US Alaska,USA-AKSTATE-PWS,False,False,species+region,candidate (needs boundary check)
FG|EBS|Clupea pallasii,EBS,Clupea pallasii,False,HERRSITKA,Pacific herring Sitka,US Alaska,USA-AKSTATE-SITKA,False,False,species+region,candidate (needs boundary check)
FG|EBS|Clupea pallasii,EBS,Clupea pallasii,False,HERRTOG,Pacific herring Togiak District,US Alaska,USA-AKSTATE-TOG,False,False,species+region,candidate (needs boundary check)
FG|EBS|Gadus macrocephalus,EBS,Gadus macrocephalus,False,PCODAI,Pacific cod Aleutian Islands,US Alaska,USA-NMFS-AI,False,False,species+region,candidate (needs boundary check)
FG|EBS|Gadus macrocephalus,EBS,Gadus macrocephalus,False,PCODBS,Pacific cod Bering Sea,US Alaska,USA-NMFS-BS,True,False,species+region,candidate (needs boundary check)
FG|EBS|Gadus macrocephalus,EBS,Gadus macrocephalus,False,PCODGA,Pacific cod Gulf of Alaska,US Alaska,USA-NMFS-GA,True,True,species+region,candidate (needs boundary check)
FG|EBS|Glyptocephalus zachirus,EBS,Glyptocephalus zachirus,False,REXSOLEGA,Rex sole Gulf of Alaska,US Alaska,USA-NMFS-GA,True,False,species+region,candidate (needs boundary check)
FG|EBS|Hippoglossoides elassodon,EBS,Hippoglossoides elassodon,False,FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,US Alaska,USA-NMFS-BSAI,True,False,species+region,candidate (needs boundary check)
FG|EBS|Hippoglossoides elassodon,EBS,Hippoglossoides elassodon,False,FLSOLEGA,Flathead sole Gulf of Alaska,US Alaska,USA-NMFS-GA,True,False,species+region,candidate (needs boundary check)
FG|EBS|Hippoglossus stenolepis,EBS,Hippoglossus stenolepis,False,PHALNPAC,Pacific halibut North Pacific,US Alaska,multinational-IPHC-NPAC,False,False,species+region,candidate (needs boundary check)
