TaxonID,LocationID,MainIDs,n,n_eligible
1,1,"[1, 9338]",2,0
1,10688,"[9283, 9796]",2,0
9,18,"[56, 2773, 7040]",3,1
23,7,"[23, 43]",2,0
28,2071,"[10124, 20649]",2,2
44,343,"[9612, 9613]",2,0
47,343,"[2727, 2728, 2729, 2730]",4,0
50,8,"[44, 45]",2,0
51,8,"[46, 47]",2,0
51,2062,"[10102, 10103]",2,0
51,2063,"[10104, 10105]",2,0
51,10540,"[6715, 6716]",2,0
51,10690,"[9292, 10153]",2,0
51,10691,"[9294, 10167]",2,0
52,83,"[1095, 6800]",2,0
52,10057,"[1765, 1766]",2,0
52,10100,"[1769, 6549]",2,0
52,10144,"[1744, 1745, 6777]",3,0
52,10465,"[1746, 6776]",2,0
53,16,"[1659, 9337]",2,0
54,82,"[200, 9721, 9735]",3,2
54,10787,"[9700, 9701, 9716]",3,3
55,21,"[281, 9503]",2,0
55,82,"[293, 9724]",2,2
56,80,"[73, 96]",2,1
57,141,"[1378, 1379]",2,0
59,21,"[245, 9501]",2,1
59,29,"[248, 9500]",2,2
61,18,"[57, 2780]",2,1
62,18,"[58, 2778]",2,1
63,18,"[59, 2775]",2,1
64,18,"[60, 2781]",2,1
64,94,"[1166, 1185]",2,1
65,18,"[61, 2774]",2,1
68,18,"[64, 2777]",2,1
69,18,"[65, 2779]",2,0
70,18,"[66, 2776]",2,1
72,82,"[404, 9730]",2,1
75,32,"[416, 10166]",2,0
75,81,"[422, 2722]",2,0
75,82,"[423, 9728]",2,1
77,82,"[434, 9725]",2,2
78,21,"[437, 9490]",2,1
78,29,"[445, 9489]",2,2
78,82,"[496, 9729]",2,2
79,21,"[9219, 9492]",2,0
79,29,"[9220, 9491]",2,0
81,10820,"[9833, 9834]",2,0
91,79,"[240, 7048]",2,0
91,82,"[242, 9741]",2,2
92,83,"[1088, 6788]",2,0
93,83,"[1089, 6789]",2,0
94,83,"[1090, 6791]",2,0
95,83,"[1091, 6792]",2,0
96,83,"[1092, 6796]",2,0
97,83,"[1093, 6798]",2,0
98,83,"[1094, 6799]",2,0
99,83,"[1096, 6801]",2,0
100,83,"[1114, 6806]",2,0
101,83,"[1097, 6807]",2,0
102,83,"[1098, 6809]",2,0
103,83,"[1099, 6810]",2,0
104,83,"[1100, 6811]",2,0
104,10078,"[1678, 6775]",2,0
104,10084,"[1684, 6778]",2,1
104,10098,"[1698, 1699]",2,0
104,10100,"[1700, 6553]",2,0
105,83,"[1101, 6820]",2,0
106,83,"[1102, 6821]",2,0
107,83,"[1103, 6822]",2,0
108,83,"[1104, 6825]",2,0
108,10100,"[2069, 6555]",2,0
109,83,"[1105, 6826]",2,0
110,83,"[1106, 6832]",2,0
111,83,"[1107, 6833]",2,0
111,10100,"[1901, 6656, 6657, 6564]",4,3
112,83,"[1108, 6834]",2,0
113,83,"[1109, 6837]",2,0
114,83,"[1110, 6841]",2,0
116,83,"[1112, 6851]",2,0
117,83,"[1113, 6858]",2,0
117,10100,"[1806, 6558]",2,0
118,83,"[1115, 6859]",2,0
119,83,"[1116, 6860]",2,0
121,84,"[1119, 8456]",2,0
121,85,"[1120, 8578]",2,0
121,86,"[1121, 8396]",2,0
121,87,"[1122, 8276]",2,0
121,88,"[1123, 8185]",2,0
161,94,"[1149, 1174]",2,0
163,94,"[1151, 1175]",2,0
165,94,"[1153, 1213]",2,0
166,94,"[1154, 1176]",2,2
167,94,"[1155, 1177]",2,0
168,94,"[1156, 1178]",2,2
169,94,"[1157, 1179]",2,2
172,94,"[1160, 1180]",2,0
173,94,"[1161, 1181]",2,0
174,94,"[1162, 1182]",2,1
181,94,"[1168, 1186]",2,0
