system_id,n_obs,start,end,span,n_missing_years,n_zero,onset_year,censor_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window,survey,survey_unit,species,zero_frac
FG|AI|Albatrossia pectoralis,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Albatrossia pectoralis,0.0
FG|AI|Anoplopoma fimbria,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Anoplopoma fimbria,0.0
FG|AI|Atheresthes evermanni,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Atheresthes evermanni,0.0
FG|AI|Atheresthes stomias,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Atheresthes stomias,0.0
FG|AI|Bathymaster signatus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Bathymaster signatus,0.0
FG|AI|Eumicrotremus orbis,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Eumicrotremus orbis,0.0
FG|AI|Gadus chalcogrammus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Gadus chalcogrammus,0.0
FG|AI|Gadus macrocephalus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Gadus macrocephalus,0.0
FG|AI|Glyptocephalus zachirus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Glyptocephalus zachirus,0.0
FG|AI|Gymnocanthus galeatus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Gymnocanthus galeatus,0.0
FG|AI|Hemilepidotus jordani,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Hemilepidotus jordani,0.0
FG|AI|Hemilepidotus zapus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Hemilepidotus zapus,0.0
FG|AI|Hemitripterus bolini,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Hemitripterus bolini,0.0
FG|AI|Hippoglossoides elassodon,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Hippoglossoides elassodon,0.0
FG|AI|Hippoglossus stenolepis,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Hippoglossus stenolepis,0.0
FG|AI|Malacocottus zonurus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Malacocottus zonurus,0.0
FG|AI|Microstomus pacificus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Microstomus pacificus,0.0
FG|AI|Pleurogrammus monopterygius,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Pleurogrammus monopterygius,0.0
FG|AI|Podothecus accipenserinus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Podothecus accipenserinus,0.0
FG|AI|Reinhardtius hippoglossoides,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Reinhardtius hippoglossoides,0.0
FG|AI|Sarritor frenatus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Sarritor frenatus,0.0
FG|AI|Sebastes alutus,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Sebastes alutus,0.0
FG|AI|Sebastes borealis,14,1983.0,2018.0,36,22,0,,,0,0,0,,,False,AI,AI,Sebastes borealis,0.0
