survey,survey_unit,year_min,year_max,n_years_total,n_years_good,n_hauls_total,n_species_candidates
AI,AI,1983,2018,14,14,5467,29
BITS,BITS-1,2000,2020,21,21,5446,19
BITS,BITS-4,1999,2020,22,22,4284,28
EBS,EBS,1982,2019,38,38,14089,34
EVHOE,EVHOE,1997,2020,23,23,3174,59
FR-CGFS,FR-CGFS,1998,2020,23,23,2071,34
GMEX,GMEX-Fall,1985,2024,39,39,9543,79
GMEX,GMEX-Summer,1982,2024,39,39,9284,74
GOA,GOA,1984,2019,15,15,11073,46
GSL-N,GSL-N,1987,2019,32,32,15780,19
GSL-S,GSL-S,1970,2019,49,49,6822,41
DFO-HS,DFO-HS,2005,2019,8,8,1266,46
IE-IGFS,IE-IGFS,2003,2020,18,18,2754,55
NEUS,NEUS-Fall,1963,2019,46,46,15036,45
NEUS,NEUS-Spring,1968,2019,52,52,16751,38
NIGFS,NIGFS,2008,2020,13,13,1482,4
Nor-BTS,Nor-BTS,2004,2021,18,18,3536,38
NS-IBTS,NS-IBTS-1,1980,2020,41,41,14982,42
NS-IBTS,NS-IBTS-3,1991,2020,30,30,8931,44
PT-IBTS,PT-IBTS,2002,2018,14,14,1176,33
DFO-QCS,DFO-QCS,2003,2019,10,10,2384,44
ROCKALL,ROCKALL,1999,2020,19,19,765,27
SCS,SCS-FALL,1979,1984,6,6,851,33
SCS,SCS-SPRING,1986,2019,27,27,2490,33
SCS,SCS-SUMMER,1970,2020,51,51,9335,39
SEUS,SEUS-fall,1989,2019,31,31,2802,69
SEUS,SEUS-spring,1989,2019,31,31,2822,57
SEUS,SEUS-summer,1989,2019,31,31,2896,63
DFO-SOG,DFO-SOG,2012,2015,2,2,93,37
SP-ARSA,SP-ARSA-1,2007,2020,14,14,564,21
SP-ARSA,SP-ARSA-4,2002,2020,15,15,618,21
SP-NORTH,SP-NORTH,1990,2019,28,27,2738,26
SP-PORC,SP-PORC,2001,2019,19,19,1539,59
SWC-IBTS,SWC-IBTS-1,1985,2020,33,33,1571,42
SWC-IBTS,SWC-IBTS-4,1991,2020,26,26,1287,45
WCANN,WCANN,2003,2018,16,16,10518,67
DFO-WCHG,DFO-WCHG,2006,2018,8,8,882,43
WCTRI,WCTRI,1977,2004,10,10,4061,52
DFO-WCVI,DFO-WCVI,2004,2018,8,8,1175,50
