MainID,n_obs,start,end,span,n_missing_years,n_zero,onset_year,censor_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window,TaxonName,TaxonomicClass,BiotopeType,Country,Continent,SamplingProtocol,SamplingUnits,SamplingEffort,SpatialDensity,Reliability,DatasetLength,SamplingFrequency,restricted,Notes,DataSourceID,LocationID,TaxonID,LongDD,LatDD
1,30,1959,1988,30,0,1,1970.0,1970.0,0,0,0,,,False,Bonasa bonasia,Aves,Coniferous forest,Russian Federation,Europe,Count,All Individuals,Sample,per 1000ha^2,4.0,30.0,1.0,False,Source dominated landscape.,1,1,1,57.0,62.0
2,19,1971,1989,19,0,2,1983.0,1983.0,0,0,0,,,False,Anolis limifrons,Reptilia,Deciduous forest,Panama,South America,Count,All Individuals,Census,per 890m^2,3.0,19.0,1.0,False,Census data provides estimates of population density at the end of the wet season (December). Adults are individuals with a snout-vent length greater than or equal to 35mm.,2,2,2,-79.83333333333333,9.166666666666666
3,27,1962,1988,27,0,0,,,0,0,0,,,False,Ischnura elegans,Insecta,Wetland,UK - England,Europe,Count,All Individuals,Census,None,4.0,27.0,1.0,False,None,3,411,3,-0.18333333333333332,52.43333333333333
4,27,1962,1988,27,0,0,,,0,0,0,,,False,Sympetrum striolatum,Insecta,Wetland,UK - England,Europe,Count,All Individuals,Census,None,4.0,27.0,1.0,False,None,3,411,4,-0.18333333333333332,52.43333333333333
5,29,1959,1988,30,1,2,1966.0,1966.0,0,0,0,,,False,Libellula quadrimaculata,Insecta,Wetland,UK - England,Europe,Count,All Individuals,Census,None,4.0,30.0,1.0,False,None,3,411,5,-0.18333333333333332,52.43333333333333
6,26,1963,1988,26,0,0,,,0,0,0,,,False,Coenagrion puella,Insecta,Wetland,UK - England,Europe,Count,All Individuals,Census,None,4.0,26.0,1.0,False,None,3,411,6,-0.18333333333333332,52.43333333333333
7,25,1964,1988,25,0,0,,,0,0,0,,,False,Lestes sponsa,Insecta,Wetland,UK - England,Europe,Count,All Individuals,Census,None,4.0,25.0,1.0,False,None,3,411,7,-0.18333333333333332,52.43333333333333
8,21,1971,1991,21,0,0,,,0,0,0,,,False,Haematopus ostralegus,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,NOT a closed population. The data are in the form of a winter population index rather than species counts.,5,4,9,-1.0,55.0
9,21,1971,1991,21,0,0,,,0,0,0,,,False,Charadrius hiaticula,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,12,-1.0,55.0
10,21,1971,1991,21,0,0,,,0,0,0,,,False,Pluvialis squatarola,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,13,-1.0,55.0
11,21,1971,1991,21,0,0,,,0,0,0,,,False,Calidris canutus,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,10,-1.0,55.0
12,21,1971,1991,21,0,0,,,0,0,0,,,False,Calidris alba,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,14,-1.0,55.0
13,21,1971,1991,21,0,0,,,0,0,0,,,False,Calidris alpina,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,11,-1.0,55.0
14,21,1971,1991,21,0,0,,,0,0,0,,,False,Limosa limosa,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,15,-1.0,55.0
15,21,1971,1991,21,0,0,,,0,0,0,,,False,Limosa lapponica,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,16,-1.0,55.0
16,21,1971,1991,21,0,0,,,0,0,0,,,False,Numenius arquata,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,17,-1.0,55.0
17,21,1971,1991,21,0,0,,,0,0,0,,,False,Tringa totanus,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,18,-1.0,55.0
18,21,1971,1991,21,0,0,,,0,0,0,,,False,Arenaria interpres,Aves,Coastal,United Kingdom,Europe,Count,All Individuals,Census,None,4.0,21.0,1.0,False,The data are in the form of a winter index rather than species counts.,5,4,19,-1.0,55.0
19,111,1876,1986,111,0,0,1905.0,1905.0,0,0,0,,,False,Salmo salar,Osteichthyes,Fluvial,Norway,Europe,Harvest,Tonnes,Harvest,None,2.0,111.0,1.0,False,"Reported catch. The total salmon run was estimated by using catch statistics, trap counts and by mark-recapture experiment.",6,5,48,10.0,60.0
44,28,1949,1977,29,1,0,,,0,0,0,,,False,Apodemus sylvaticus,Mammalia,Deciduous forest,UK - England,Europe,Count,All Individuals,Sample,None,3.0,29.0,1.0,False,"Summer sampling only, for winter equivalent see Main ID 45",9,8,50,-1.3333333333333333,51.7
