MainID,n_obs,start,end,span,n_missing_years,n_zero,onset_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window
1155,44,1927,1976,50,6,9,1944.0,0,0,0,,,False
1843,7,1970,1982,13,6,0,,0,0,0,,,False
1859,25,1911,1959,49,24,0,,0,0,0,,,False
1863,16,1957,1987,31,15,0,,0,0,0,,,False
1939,46,1932,1989,58,12,1,1946.0,0,0,0,,,False
2051,16,1958,1980,23,7,0,,0,0,0,,,False
6058,7,1958,1964,7,0,0,,0,0,0,,,False
6104,14,1907,1920,14,0,0,,0,0,0,,,False
6105,14,1907,1920,14,0,0,,0,0,0,,,False
6106,14,1907,1920,14,0,0,,0,0,0,,,False
6107,14,1907,1920,14,0,0,,0,0,0,,,False
6108,14,1907,1920,14,0,1,1918.0,0,0,0,,,False
6109,14,1907,1920,14,0,0,1916.0,0,0,0,,,False
6110,14,1907,1920,14,0,0,1913.0,0,0,0,,,False
6111,14,1907,1920,14,0,0,1916.0,0,0,0,,,False
6112,14,1907,1920,14,0,0,1916.0,0,0,0,,,False
6113,14,1907,1920,14,0,2,1913.0,0,0,0,,,False
6114,14,1907,1920,14,0,0,,0,0,0,,,False
6115,14,1907,1920,14,0,0,,0,0,0,,,False
6116,14,1907,1920,14,0,0,,0,0,0,,,False
6117,14,1907,1920,14,0,0,,0,0,0,,,False
6118,14,1907,1920,14,0,0,,0,0,0,,,False
6119,14,1907,1920,14,0,0,,0,0,0,,,False
6120,12,1909,1920,12,0,0,1919.0,0,0,0,,,False
6121,14,1907,1920,14,0,0,,0,0,0,,,False
6122,14,1907,1920,14,0,0,1916.0,0,0,0,,,False
6123,14,1907,1920,14,0,0,1919.0,0,0,0,,,False
6124,14,1907,1920,14,0,0,,0,0,0,,,False
6125,14,1907,1920,14,0,0,,0,0,0,,,False
6126,14,1907,1920,14,0,0,,0,0,0,,,False
6127,13,1908,1920,13,0,0,,0,0,0,,,False
6128,14,1907,1920,14,0,0,,0,0,0,,,False
6129,14,1907,1920,14,0,0,,0,0,0,,,False
6130,14,1907,1920,14,0,0,,0,0,0,,,False
6131,14,1907,1920,14,0,0,,0,0,0,,,False
6132,14,1907,1920,14,0,0,,0,0,0,,,False
6133,14,1907,1920,14,0,0,,0,0,0,,,False
6134,14,1907,1920,14,0,0,,0,0,0,,,False
6135,14,1907,1920,14,0,0,,0,0,0,,,False
6136,14,1907,1920,14,0,0,,0,0,0,,,False
6137,14,1907,1920,14,0,0,1917.0,0,0,0,,,False
6138,14,1907,1920,14,0,0,,0,0,0,,,False
6139,14,1907,1920,14,0,0,,0,0,0,,,False
6140,14,1907,1920,14,0,0,,0,0,0,,,False
6141,14,1907,1920,14,0,0,,0,0,0,,,False
6142,14,1907,1920,14,0,0,1919.0,0,0,0,,,False
6143,14,1907,1920,14,0,0,1916.0,0,0,0,,,False
6524,21,1959,1979,21,0,0,1970.0,0,0,0,,,False
6525,21,1959,1979,21,0,0,,0,0,0,,,False
6635,11,1955,1965,11,0,0,,0,0,0,,,False
6788,17,1981,1997,17,0,2,,0,0,0,,,False
6789,17,1981,1997,17,0,2,,0,0,0,,,False
6790,17,1981,1997,17,0,10,1993.0,0,0,0,,,False
6791,17,1981,1997,17,0,0,1991.0,0,0,0,,,False
6792,17,1981,1997,17,0,0,1986.0,0,0,0,,,False
6793,17,1981,1997,17,0,13,,0,0,0,,,False
6794,17,1981,1997,17,0,16,,0,0,0,,,False
6795,17,1981,1997,17,0,13,,0,0,0,,,False
6796,17,1981,1997,17,0,6,,0,0,0,,,False
6797,17,1981,1997,17,0,16,,0,0,0,,,False
6798,17,1981,1997,17,0,1,,0,0,0,,,False
6799,17,1981,1997,17,0,3,,0,0,0,,,False
6800,17,1981,1997,17,0,3,,0,0,0,,,False
6801,17,1981,1997,17,0,1,,0,0,0,,,False
6802,17,1981,1997,17,0,16,,0,0,0,,,False
6803,17,1981,1997,17,0,15,,0,0,0,,,False
6804,17,1981,1997,17,0,12,,0,0,0,,,False
6805,17,1981,1997,17,0,13,,0,0,0,,,False
6806,17,1981,1997,17,0,5,1996.0,0,0,0,,,False
6807,17,1981,1997,17,0,0,,0,0,0,,,False
6808,17,1981,1997,17,0,14,,0,0,0,,,False
6809,17,1981,1997,17,0,2,1996.0,0,0,0,,,False
6810,17,1981,1997,17,0,4,,0,0,0,,,False
6811,17,1981,1997,17,0,1,,0,0,0,,,False
6812,17,1981,1997,17,0,15,,0,0,0,,,False
6813,17,1981,1997,17,0,9,1996.0,0,0,0,,,False
6814,17,1981,1997,17,0,16,,0,0,0,,,False
6815,17,1981,1997,17,0,13,,0,0,0,,,False
6816,17,1981,1997,17,0,16,,0,0,0,,,False
6817,17,1981,1997,17,0,14,,0,0,0,,,False
6818,17,1981,1997,17,0,15,,0,0,0,,,False
6819,17,1981,1997,17,0,13,,0,0,0,,,False
6820,17,1981,1997,17,0,0,1996.0,0,0,0,,,False
6821,17,1981,1997,17,0,0,,0,0,0,,,False
6822,17,1981,1997,17,0,0,,0,0,0,,,False
6823,17,1981,1997,17,0,12,,0,0,0,,,False
6824,17,1981,1997,17,0,11,,0,0,0,,,False
6825,17,1981,1997,17,0,0,,0,0,0,,,False
6826,17,1981,1997,17,0,3,1986.0,0,0,0,,,False
6827,17,1981,1997,17,0,14,,0,0,0,,,False
6828,17,1981,1997,17,0,16,,0,0,0,,,False
6829,17,1981,1997,17,0,15,,0,0,0,,,False
6830,17,1981,1997,17,0,12,,0,0,0,,,False
6831,17,1981,1997,17,0,16,,0,0,0,,,False
6832,17,1981,1997,17,0,0,,0,0,0,,,False
6833,17,1981,1997,17,0,4,,0,0,0,,,False
