scenario,design,n_systems_total,n_events_total,n_events_eval,realized_at_nominal0,power_at_realized_0.10,power_at_realized_0.15,P_negl_at_realized_0,P_negl_at_realized_0.05,false_meaningful_at_0,ci_width_at_0.10,cover95_mean,faE_eval_mean,gate_pass
D_scaled_x1.0,cv5,677,156,156.0,-0.01,0.5141000000000013,0.9284541984732826,0.8153125000000001,0.3934374999999992,0.010502717391304341,0.11951080128205117,0.944,0.994,False
D_scaled_x1.5,cv5,1016,235,235.0,0.009,0.38073461538461584,0.8560681818181823,0.9325,0.7577142857142858,0.0,0.09592150572831422,0.865,0.994,False
D_scaled_x2.0,cv5,1354,312,312.0,-0.01,0.5908000000000015,0.9770610687022901,0.9102173913043479,0.6330434782608689,0.0029483695652173887,0.08481911858974354,0.929,0.994,False
D_scaled_x3.0,cv5,2031,468,468.0,-0.01,0.6073000000000017,0.9786068702290077,0.9229891304347826,0.7680978260869562,0.00042119565217391266,0.06928087606837605,0.926,0.994,False
D_scaled_x4.0,cv5,2708,624,624.0,-0.01,0.5880000000000015,0.9793893129770993,0.955679347826087,0.8863858695652173,0.0,0.06033232371794865,0.911,0.994,False
D_scaled_x1.0,holdout,677,156,79.0,-0.01,0.487100000000001,0.8694847328244275,0.5867119565217392,0.2320923913043471,0.028111413043478244,0.16489591772151893,0.928,0.987,False
D_scaled_x1.5,holdout,1016,235,118.0,0.009,0.4799230769230774,0.8456576704545458,0.82,0.4843319805194805,0.0,0.1339166761734028,0.905,0.993,False
D_scaled_x2.0,holdout,1354,312,156.0,-0.01,0.5337000000000014,0.9344847328244276,0.8086277173913043,0.37860054347826,0.011372282608695642,0.11932089743589742,0.922,0.988,False
D_scaled_x3.0,holdout,2031,468,233.0,-0.01,0.5664000000000016,0.9610305343511452,0.8716847826086958,0.5048369565217383,0.0037907608695652135,0.0985779077253218,0.933,0.994,False
D_scaled_x4.0,holdout,2708,624,312.0,-0.01,0.5417000000000014,0.9707824427480917,0.9160326086956522,0.6307065217391299,0.002105978260869563,0.08547572916666663,0.936,0.995,False
