scenario,design,weighting,events,ev_eval,r10_pow,r10_pow15,r10_negl0,alt_pow,alt_pow15,alt_negl0,alt_false_meaningful0,alt_negl05,alt_pow05,alt_gate
A_accessible_now,cv5,dataset,70,70.0,0.3075804877856264,0.5901355683104514,0.595,0.499676165454662,0.7741046096993086,0.595,0.0375,0.4222523733853153,0.2221612560363871,False
A_accessible_now,holdout,dataset,70,35.0,0.23383917874133045,0.4959925091206181,0.205,0.2695435319348116,0.5193494499307849,0.205,0.0275,0.13351822346978565,0.09501056672298022,False
A_accessible_now,cv5,system,70,70.0,0.43802083333333364,,0.68,0.5618750000000002,,0.68,0.0075,0.2545245398773006,0.19657975460122706,False
A_accessible_now,holdout,system,70,35.0,0.30586805555555574,,0.1775,0.30586805555555574,,0.1775,0.0125,0.06016871165644171,0.11182515337423315,False
C_RAMfull_x3_only,cv5,system,129,129.0,0.5062234042553199,0.8611206896551727,0.745,0.78654255319149,0.9664655172413794,0.745,0.0425,0.3547122302158275,0.3356654676258992,False
C_RAMfull_x3_only,holdout,system,129,65.0,0.4362234042553197,0.7350862068965519,0.46,0.5037234042553197,0.7901724137931037,0.46,0.045,0.23877697841726625,0.1852877697841726,False
D_RAMfull_x3+FishGlob+GPDD,cv5,dataset,156,156.0,0.4864987892998997,0.7490017296379626,0.685,0.7598920706321484,0.9101155480305402,0.685,0.0925,0.41196526295640457,0.3782143752691782,False
D_RAMfull_x3+FishGlob+GPDD,holdout,dataset,156,79.0,0.38848320333062175,0.640870539564898,0.56,0.5810971096329618,0.7901898289073161,0.56,0.0675,0.3421783222472122,0.2730765133751263,False
D_RAMfull_x3+FishGlob+GPDD,cv5,system,156,156.0,0.5016964285714295,0.9081386861313867,0.8613662790697685,0.8250892857142866,0.9897627737226277,0.8613662790697685,0.04444767441860386,0.43186046511627835,0.373662790697675,True
D_RAMfull_x3+FishGlob+GPDD,holdout,system,156,79.0,0.5188392857142866,0.8633941605839415,0.5986627906976754,0.6144642857142865,0.9077189781021897,0.5986627906976754,0.03941860465116236,0.24110465116279012,0.21819767441860496,False
D_scaled_x1.5,cv5,system,235,235.0,0.5263631386861324,0.9659574468085113,0.9525,0.9265328467153295,0.9992101063829788,0.9525,0.0125,0.592776946107784,0.3849191616766472,True
D_scaled_x1.5,holdout,system,235,118.0,0.5757317518248186,0.9361781914893623,0.7875,0.7981587591240885,0.9824973404255322,0.7875,0.0325,0.33467215568862224,0.31181437125748535,False
D_scaled_x2.0,cv5,system,312,312.0,0.5473214285714297,0.9581204379562043,0.9654069767441869,0.8874107142857154,0.9993795620437956,0.9654069767441869,0.022819767441859644,0.6340116279069762,0.36511627906976807,True
D_scaled_x2.0,holdout,system,312,156.0,0.4978571428571439,0.9100182481751822,0.8744767441860476,0.8576785714285724,0.9922262773722628,0.8744767441860476,0.045029069767441046,0.4166279069767434,0.3829651162790703,True
D_scaled_x3.0,cv5,system,468,468.0,0.5692857142857156,0.9596532846715327,0.9558720930232563,0.8506250000000013,0.9981386861313869,0.9558720930232563,0.013517441860464632,0.7814534883720927,0.21627906976744224,True
D_scaled_x3.0,holdout,system,468,233.0,0.5316964285714296,0.9440693430656932,0.9313372093023266,0.8886607142857152,0.9972080291970803,0.9313372093023266,0.03968023255813856,0.5388953488372086,0.44738372093023326,True
D_scaled_x4.0,cv5,system,624,624.0,0.5236607142857155,0.9550182481751823,0.9627034883720932,0.8316964285714302,0.998448905109489,0.9627034883720932,0.006686046511627666,0.8907558139534882,0.10697674418604668,True
D_scaled_x4.0,holdout,system,624,312.0,0.5049107142857153,0.9409671532846713,0.9544767441860472,0.8632142857142869,0.9972080291970803,0.9544767441860472,0.024331395348836514,0.6841279069767436,0.31430232558139587,True
E_D+LPD_projection,cv5,dataset,188,188.0,0.27088569259937667,0.5849272862141841,0.6925,0.5656653769060942,0.8481076722061793,0.6925,0.055,0.5182101434772635,0.2530097778246474,False
E_D+LPD_projection,holdout,dataset,188,95.0,0.27066537690609416,0.5587187470228921,0.5975,0.4523964868927285,0.7528521021328646,0.5975,0.0825,0.4572430740408748,0.22172562503295518,False
E_D+LPD_projection,cv5,system,188,188.0,0.43184683098591525,0.8443665644171777,0.8575,0.8294366197183097,0.9874463190184048,0.8575,0.07,0.49291101694915257,0.4119788135593221,True
E_D+LPD_projection,holdout,system,188,95.0,0.40841549295774626,0.7555897239263802,0.6725,0.5797024647887322,0.8658581288343558,0.6725,0.0625,0.3983516949152542,0.23772881355932207,False
