scenario,design,dev_frac,weighting,n_systems_total,n_events_total,n_events_eval,realized_at_nominal0,power_at_realized_0.10,power_at_realized_0.15,P_negl_at_realized_0,P_negl_at_realized_0.05,false_meaningful_at_0,ci_width_at_0.10,cover95_mean,faE_eval_mean,gate_pass,rule
F_RAMv466_only,cv5,0.6,system,457,111,111.0,-0.001,0.7744082840236685,0.9875763358778626,0.814512195121951,0.3274695121951221,0.03231707317073181,0.14312468015352628,0.937,0.995,False,alternative_B
F_RAMv466_only,cv5,0.6,system,457,111,111.0,-0.001,0.47270710059171583,0.9173473282442748,0.814512195121951,0.3274695121951221,0.004573170731707346,0.14312468015352628,0.937,0.995,False,section10
F_RAMv466_only,holdout,0.5,system,457,111,55.0,-0.001,0.44180473372781054,0.7697900763358778,0.4395121951219511,0.139969512195122,0.021585365853658597,0.2000271651425497,0.926,0.995,False,alternative_B
F_RAMv466_only,holdout,0.5,system,457,111,55.0,-0.001,0.41059171597633126,0.7580725190839694,0.4395121951219511,0.139969512195122,0.01609756097560981,0.2000271651425497,0.926,0.995,False,section10
G_RAMv466+FishGlob+GPDD,cv5,0.6,dataset,624,138,138.0,0.029,0.5613016310526868,0.8378396065302136,0.605,0.4991796341322781,0.145,0.1802074976055875,0.793,0.994,False,alternative_B
G_RAMv466+FishGlob+GPDD,cv5,0.6,dataset,624,138,138.0,0.029,0.33989307723118134,0.6625903381732826,0.605,0.4991796341322781,0.095,0.1802074976055875,0.793,0.994,False,section10
G_RAMv466+FishGlob+GPDD,holdout,0.5,dataset,624,138,69.0,0.029,0.4387876187277407,0.7202998739843015,0.48,0.40836775233569594,0.1125,0.20727096037945442,0.759,0.993,False,alternative_B
G_RAMv466+FishGlob+GPDD,holdout,0.5,dataset,624,138,69.0,0.029,0.2455833418169879,0.5577601414383894,0.48,0.40836775233569594,0.0425,0.20727096037945442,0.759,0.993,False,section10
G_RAMv466+FishGlob+GPDD,cv5,0.6,system,624,138,138.0,0.005,0.7722807017543861,0.9682222222222221,0.8275,0.35724025974025964,0.0575,0.12565148264683446,0.915,0.994,False,alternative_B
G_RAMv466+FishGlob+GPDD,cv5,0.6,system,624,138,138.0,0.005,0.48881578947368426,0.8877777777777776,0.8275,0.35724025974025964,0.0025,0.12565148264683446,0.915,0.994,False,section10
G_RAMv466+FishGlob+GPDD,holdout,0.5,system,624,138,69.0,0.005,0.5525438596491228,0.8348333333333331,0.4975,0.19503246753246745,0.02,0.17361981947622673,0.917,0.993,False,alternative_B
G_RAMv466+FishGlob+GPDD,holdout,0.5,system,624,138,69.0,0.005,0.49605263157894747,0.8131666666666666,0.4975,0.19503246753246745,0.01,0.17361981947622673,0.917,0.993,False,section10
Gns_RAMv466ns+FishGlob+GPDD,cv5,0.6,dataset,516,119,119.0,-0.0,0.5888341254567628,0.819491590090843,0.7014438957438466,0.5035080539188499,0.023655736733149076,0.18443608201126602,0.794,0.995,False,alternative_B
