scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
A_accessible_now,0.45,400,500,0.0,0.5,holdout,system,0.7987060546875,0.073974609375,0.018,0.482,0.476,0.024,0.0017777777777777776,0.0532084933917464,0.1958023302611126,0.946,0.4585333333333333,0.4603111111111111,0.9932360131391123,0.9958098147363119,0.0,45.0,211.0,2115.616,421,89
A_accessible_now,0.45,400,500,0.0,0.7,holdout,system,0.7987060546875,0.073974609375,0.01,0.372,0.6,0.018,-0.00123076923076923,0.06812417418208554,0.24788043199474344,0.972,0.4594615384615385,0.4582307692307693,0.9978427612599837,0.9887061912161799,0.002,26.0,126.0,1268.044,421,89
A_accessible_now,0.45,400,500,0.05,0.5,holdout,system,0.7987060546875,0.495849609375,0.136,0.182,0.678,0.004,0.0523111111111111,0.05526615336497739,0.19985345188709805,0.924,0.4585333333333333,0.5108444444444443,0.9932360131391123,0.9959968330451868,0.0,45.0,211.0,2115.616,421,89
A_accessible_now,0.45,400,500,0.05,0.7,holdout,system,0.7987060546875,0.495849609375,0.078,0.172,0.75,0.0,0.04853846153846153,0.07108820648818179,0.2552730852202657,0.884,0.4594615384615385,0.508,0.9978427612599837,0.989537704478379,0.002,26.0,126.0,1268.044,421,89
A_accessible_now,0.45,400,500,0.0,0.6,cv5,system,0.7987060546875,0.073974609375,0.012,0.71,0.252,0.026,0.0017752808988764053,0.03945355728926892,0.1433398006635935,0.946,0.45608988764044944,0.45786516853932585,0.995489285527307,0.9966911233725825,0.0,89.0,421.0,4228.138,421,89
A_accessible_now,0.45,400,500,0.1,0.5,holdout,system,0.7987060546875,0.976318359375,0.434,0.048,0.518,0.0,0.10644444444444442,0.05777529412471826,0.21483105203802874,0.934,0.4585333333333333,0.5649777777777778,0.9932360131391123,0.996349890633046,0.0,45.0,211.0,2115.616,421,89
A_accessible_now,0.45,400,500,0.1,0.7,holdout,system,0.7987060546875,0.976318359375,0.274,0.04,0.686,0.0,0.10507692307692307,0.07528878995270466,0.2772594138027667,0.93,0.4594615384615385,0.5645384615384615,0.9978427612599837,0.9889806386893586,0.002,26.0,126.0,1268.044,421,89
A_accessible_now,0.45,400,500,0.05,0.6,cv5,system,0.7987060546875,0.495849609375,0.122,0.306,0.57,0.002,0.05175280898876405,0.04063771079809564,0.1457078644534365,0.924,0.45608988764044944,0.5078426966292134,0.995489285527307,0.9965376924760982,0.0,89.0,421.0,4228.138,421,89
A_accessible_now,0.45,400,500,0.15,0.5,holdout,system,0.7987060546875,1.351318359375,0.688,0.01,0.302,0.0,0.14759999999999998,0.06112107366011172,0.22997482560285606,0.928,0.4585333333333333,0.6061333333333332,0.9932360131391123,0.9960428813001324,0.0,45.0,211.0,2115.616,421,89
A_accessible_now,0.45,400,500,0.15,0.7,holdout,system,0.7987060546875,1.351318359375,0.446,0.014,0.54,0.0,0.14730769230769233,0.07894952936243899,0.2976277549142686,0.93,0.4594615384615385,0.6067692307692307,0.9978427612599837,0.9894773929897083,0.002,26.0,126.0,1268.044,421,89
