scenario,S_B,delta_true,dev_frac,design,weighting,s_u2,rho,n_boot,n_reps,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total,fa_budget,s_c2,boot_unit,episode_rule,w
D_su2=0.5_rho=0.5,0.45,0.0,0.6,cv5,system,0.5,0.5,400,400,0.6869659423828125,0.055389404296875,0.005,0.4506666666666666,0.0,0.8925,0.085,0.0225,0.0031891025641025,0.0294507600886925,0.111014423076923,0.95,0.94,0.4470032051282052,0.4501923076923077,0.9958387711500444,0.9953782864244668,0.0,0.0,20.7375,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.1_rho=0.5,0.45,0.1,0.6,cv5,system,0.1,0.5,400,400,0.6187591552734375,0.792572021484375,0.1116666666666666,0.441,0.4425,0.0375,0.52,0.0,0.0956891025641025,0.0302560969375422,0.1169555288461538,0.9425,0.91,0.4413141025641026,0.5370032051282051,0.9931877608289562,0.9940446361402931,0.0,0.0,24.2975,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.1_rho=0.5,0.45,0.0,0.6,cv5,system,0.1,0.5,400,400,0.6187591552734375,0.025909423828125,0.008,0.441,0.0,0.91,0.0675,0.0225,-0.0025961538461538,0.0294933781410521,0.1092948717948717,0.9575,0.91,0.4413141025641026,0.4387179487179488,0.9931877608289562,0.9936556802713368,0.0,0.0,19.9,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.5_rho=0.5,0.45,0.1,0.6,cv5,system,0.5,0.5,400,400,0.6869659423828125,0.848236083984375,0.1029999999999999,0.4506666666666666,0.455,0.045,0.5,0.0,0.0981089743589743,0.0322878455794257,0.1198998397435897,0.9225,0.925,0.4470032051282052,0.5451121794871794,0.9958387711500444,0.9955809727056096,0.0,0.0,25.32,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.3_rho=0.2,0.45,0.0,0.6,cv5,system,0.3,0.2,400,400,0.5938568115234375,0.141448974609375,0.021,0.442,0.0,0.82,0.1725,0.0075,0.0128525641025641,0.0305964230035928,0.1128770032051282,0.91,0.9075,0.4399038461538462,0.4527564102564103,0.9939168111013384,0.9931022373566673,0.0,0.0,21.17,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.3_rho=0.2,0.45,0.1,0.6,cv5,system,0.3,0.2,400,400,0.5938568115234375,0.931732177734375,0.1206666666666666,0.442,0.695,0.02,0.285,0.0,0.1151121794871794,0.0338504072139086,0.1213938301282051,0.9,0.9175,0.4399038461538462,0.5550160256410256,0.9939168111013384,0.9933060560154024,0.0,0.0,26.7625,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.3_rho=0.8,0.45,0.0,0.6,cv5,system,0.3,0.8,400,400,0.7007904052734375,0.080841064453125,0.0136666666666666,0.437,0.0,0.865,0.1275,0.0075,0.0044711538461538,0.0302790639219364,0.1126891025641025,0.945,0.9225,0.4416185897435898,0.4460897435897436,0.9959943005552774,0.9957492218286652,0.0,0.0,21.1225,156.0,677.0,9655.0675,677,156,,,,,
D_su2=0.3_rho=0.8,0.45,0.1,0.6,cv5,system,0.3,0.8,400,400,0.7007904052734375,0.940338134765625,0.1196666666666666,0.437,0.585,0.0275,0.3875,0.0,0.1078846153846153,0.0340236270864427,0.122165064102564,0.9225,0.8975,0.4416185897435898,0.5495032051282052,0.9959943005552774,0.9956545374877755,0.0,0.0,26.585,156.0,677.0,9655.0675,677,156,,,,,
D_budget=0.5,0.45,0.0,0.6,cv5,system,,,400,400,1.0923614501953125,0.082122802734375,0.0113333333333333,0.4396666666666666,0.0,0.905,0.06,0.035,-0.0011217948717948,0.0290560309024398,0.1078661858974358,0.95,0.915,0.4416987179487179,0.4405769230769231,0.4947611135929262,0.4939274136567384,0.0,0.0,19.49,156.0,677.0,9655.0675,677,156,0.5,,,,
D_budget=0.5,0.45,0.1,0.6,cv5,system,,,400,400,1.0923614501953125,0.875518798828125,0.1069999999999999,0.4396666666666666,0.5375,0.0425,0.42,0.0,0.1005288461538461,0.031460524289581,0.1163201121794871,0.9225,0.92,0.4416987179487179,0.5422275641025641,0.4947611135929262,0.4941808656085366,0.0,0.0,24.2975,156.0,677.0,9655.0675,677,156,0.5,,,,
D_budget=2.0,0.45,0.0,0.6,cv5,system,,,400,400,4.57763671875e-05,9.1552734375e-05,0.0076666666666666,0.4453333333333333,0.0,0.8725,0.0975,0.03,0.0006570512820512,0.0290756026403194,0.1110805288461538,0.96,0.9275,0.4437820512820513,0.4444391025641026,1.994779420620419,1.9953735275529376,1.0,0.0,20.5525,156.0,677.0,9655.0675,677,156,2.0,,,,
D_budget=2.0,0.45,0.1,0.6,cv5,system,,,400,400,4.57763671875e-05,0.741302490234375,0.0943333333333332,0.4453333333333333,0.385,0.0625,0.5525,0.0,0.0903846153846153,0.0326071582896884,0.118592548076923,0.925,0.9425,0.4437820512820513,0.5341666666666667,1.994779420620419,1.9953158210043889,1.0,0.0,24.79,156.0,677.0,9655.0675,677,156,2.0,,,,
D_cluster_sc2=0.15_clusterboot,0.45,0.0,0.6,cv5,system,,,400,400,0.6939239501953125,0.042388916015625,-0.009,0.458,0.0,0.895,0.0625,0.0425,-0.0009935897435897,0.0298646671473401,0.1060892885749063,0.93,0.9075,0.4522916666666667,0.4512980769230769,0.9960835555607744,0.9958579485669514,0.0,0.0,20.455,156.0,677.0,9682.415,677,156,,0.15,cluster,,
D_cluster_sc2=0.15_systemboot,0.45,0.0,0.6,cv5,system,,,400,400,0.6939239501953125,0.042388916015625,-0.009,0.458,0.0,0.895,0.0825,0.0225,0.0003044871794871,0.029632213981094,0.111853766025641,0.935,0.9125,0.4522115384615385,0.4525160256410256,0.9954732759341828,0.9954628361177608,0.0,0.0,20.9975,156.0,677.0,9651.345,677,156,,0.15,,,
