scenario,S_B,delta_true,dev_frac,design,weighting,n_boot,n_reps,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
D_scaled_x1.0,0.45,0.0,0.5,holdout,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.01,0.66,0.2975,0.0325,-0.0025316455696202545,0.039534192869595676,0.15301028481012655,0.9425,0.925,0.4603481012658228,0.45781645569620255,0.9852660727414414,0.98717980228567,0.0,0.0,10.37,79.0,340.0,4880.7025,677,156
D_scaled_x1.0,0.45,0.05,0.5,holdout,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.1175,0.225,0.6575,0.0,0.04974683544303797,0.04034878629973513,0.15504984177215186,0.9275,0.9325,0.4603481012658228,0.5100949367088607,0.9852660727414414,0.9870423848705798,0.0,0.0,10.825,79.0,340.0,4880.7025,677,156
D_scaled_x1.0,0.45,0.1,0.5,holdout,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.5575,0.0175,0.425,0.0,0.1064873417721519,0.04382619974788462,0.16677136075949364,0.935,0.9325,0.4603481012658228,0.5668354430379747,0.9852660727414414,0.9873221758923969,0.0,0.0,13.0925,79.0,340.0,4880.7025,677,156
D_scaled_x1.0,0.45,0.0,0.6,cv5,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0025,0.9025,0.07,0.025,-0.001442307692307694,0.02853385777253872,0.11100560897435896,0.9475,0.9375,0.46232371794871796,0.4608814102564103,0.994861787625541,0.9941431018522953,0.0,0.0,20.635,156.0,677.0,9655.0675,677,156
D_scaled_x1.0,0.45,0.15,0.5,holdout,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.8925,0.0,0.1075,0.0,0.15503164556962024,0.04837987791829366,0.17851028481012654,0.905,0.92,0.4603481012658228,0.6153797468354429,0.9852660727414414,0.98716319505667,0.0,0.0,15.8325,79.0,340.0,4880.7025,677,156
D_scaled_x1.0,0.45,0.05,0.6,cv5,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.05,0.385,0.565,0.0,0.05238782051282051,0.030259840894268305,0.11279887820512818,0.945,0.945,0.46232371794871796,0.5147115384615385,0.994861787625541,0.9942764865052541,0.0,0.0,21.8525,156.0,677.0,9655.0675,677,156
D_scaled_x1.0,0.45,0.1,0.6,cv5,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.6025,0.0225,0.375,0.0,0.10870192307692307,0.03168168999726372,0.12078926282051278,0.925,0.9475,0.46232371794871796,0.5710256410256409,0.994861787625541,0.9945899117695212,0.0,0.0,26.1425,156.0,677.0,9655.0675,677,156
D_scaled_x1.5,0.45,0.0,0.5,holdout,system,400,400,0.6312103271484375,0.039276123046875,0.009039169735520602,0.42551054569802477,0.0,0.82,0.16,0.02,0.0012711864406779647,0.0339115771987521,0.12551800847457625,0.9375,0.895,0.4296186440677966,0.4308898305084746,0.9955088475132914,0.9929141779312127,0.0,0.0,15.19,118.0,509.0,7235.2125,1016,235
D_scaled_x1.5,0.45,0.05,0.5,holdout,system,400,400,0.6312103271484375,0.363372802734375,0.0605959156344158,0.42551054569802477,0.0725,0.3975,0.53,0.0,0.04364406779661016,0.03490033800741338,0.1272653601694915,0.9175,0.87,0.4296186440677966,0.47326271186440677,0.9955088475132914,0.9935820245383717,0.0,0.0,15.825,118.0,509.0,7235.2125,1016,235
D_scaled_x1.0,0.45,0.15,0.6,cv5,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.9525,0.0,0.0475,0.0,0.15600961538461539,0.032867377549942414,0.12931330128205126,0.945,0.945,0.46232371794871796,0.6183333333333333,0.994861787625541,0.9946761164174268,0.0,0.0,31.5925,156.0,677.0,9655.0675,677,156
