scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,p_meaningful_alt,p_negligible_alt,p_inconclusive_alt,p_harm_alt,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
F_RAMv466_only,0.45,400,400,0.0,0.5,holdout,system,0.6811065673828125,0.032135009765625,-0.001333333333333353,0.44966666666666666,0.0125,0.4475,0.52,0.02,0.0175,0.4475,0.515,0.02,0.00018181818181818132,0.04932032501199396,0.18294431818181814,0.95,0.9175,0.45718181818181813,0.45736363636363636,0.9981827242458171,0.9948100583030387,0.0,0.0,7.13,55.0,228.0,4217.1275,457,111
F_RAMv466_only,0.45,400,400,0.05,0.5,holdout,system,0.6811065673828125,0.498870849609375,0.053333333333333344,0.44966666666666666,0.16,0.12,0.715,0.005,0.185,0.12,0.69,0.005,0.05599999999999999,0.05060940991395461,0.1880454545454545,0.915,0.915,0.45718181818181813,0.5131818181818182,0.9981827242458171,0.9952165519382598,0.0,0.0,7.705,55.0,228.0,4217.1275,457,111
F_RAMv466_only,0.45,400,400,0.1,0.5,holdout,system,0.6811065673828125,0.971649169921875,0.10966666666666669,0.44966666666666666,0.4625,0.0175,0.52,0.0,0.495,0.0175,0.4875,0.0,0.10949999999999999,0.05422399006541573,0.20250909090909086,0.93,0.9275,0.45718181818181813,0.5666818181818182,0.9981827242458171,0.9944237497697699,0.0,0.0,9.3075,55.0,228.0,4217.1275,457,111
F_RAMv466_only,0.45,400,400,0.0,0.6,cv5,system,0.6811065673828125,0.032135009765625,-0.001333333333333353,0.44966666666666666,0.0025,0.8275,0.1475,0.0225,0.025,0.8275,0.125,0.0225,-0.00177927927927928,0.03420402896398854,0.13175788288288284,0.9525,0.9375,0.4495945945945945,0.44781531531531527,0.9956995357644416,0.9948099935129189,0.0,0.0,14.5975,111.0,457.0,8371.555,457,111
F_RAMv466_only,0.45,400,400,0.15,0.5,holdout,system,0.6811065673828125,1.411285400390625,0.15333333333333332,0.44966666666666666,0.7825,0.0025,0.215,0.0,0.7925,0.0025,0.205,0.0,0.16004545454545455,0.05807946610698338,0.21916136363636363,0.9425,0.9425,0.45718181818181813,0.6172272727272727,0.9981827242458171,0.9948757105997124,0.0,0.0,11.4675,55.0,228.0,4217.1275,457,111
F_RAMv466_only,0.45,400,400,0.05,0.6,cv5,system,0.6811065673828125,0.498870849609375,0.053333333333333344,0.44966666666666666,0.0875,0.295,0.6175,0.0,0.325,0.295,0.38,0.0,0.05608108108108108,0.03567793236094444,0.13509346846846845,0.94,0.94,0.4495945945945945,0.5056756756756756,0.9956995357644416,0.9946266868883628,0.0,0.0,15.725,111.0,457.0,8371.555,457,111
F_RAMv466_only,0.45,400,400,0.1,0.6,cv5,system,0.6811065673828125,0.971649169921875,0.10966666666666669,0.44966666666666666,0.5525,0.02,0.4275,0.0,0.8675,0.02,0.1125,0.0,0.1129054054054054,0.03708090706461721,0.14478828828828827,0.9475,0.945,0.4495945945945945,0.5625,0.9956995357644416,0.9947788895354417,0.0,0.0,18.9925,111.0,457.0,8371.555,457,111
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.0,0.5,holdout,system,0.6889801025390625,0.095672607421875,0.004666666666666652,0.44133333333333336,0.01,0.4975,0.465,0.0275,0.02,0.4975,0.455,0.0275,0.004456521739130434,0.042697440011818945,0.16121376811594204,0.945,0.9125,0.45518115942028986,0.45963768115942033,0.9955920282147698,0.9928136319635331,0.0,0.0,8.8875,69.0,312.0,4655.085,624,138
F_RAMv466_only,0.45,400,400,0.15,0.6,cv5,system,0.6811065673828125,1.411285400390625,0.15333333333333332,0.44966666666666666,0.9475,0.0,0.0525,0.0,0.9975,0.0,0.0025,0.0,0.16587837837837838,0.04152014154866134,0.1554172297297297,0.91,0.925,0.4495945945945945,0.615472972972973,0.9956995357644416,0.99468655905988,0.0,0.0,23.3875,111.0,457.0,8371.555,457,111
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.0,0.5,holdout,dataset,0.7539825439453125,0.281341552734375,0.02861277311415078,0.4079562627398352,0.0425,0.48,0.4575,0.02,0.1125,0.48,0.3875,0.02,0.01731313131313131,0.07516116992865465,0.19816654040404033,0.855,0.8025,0.4519040404040405,0.4692171717171717,0.9960956191493259,0.9927925721409505,0.0,0.0,9.155,69.0,312.0,4655.085,624,138
