stockid,n_obs,start,end,span,n_missing_years,n_zero,onset_year,censor_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window,var_used,stocklong,species,region,area,method,country,yr1,yr2,nyr,family
ACADREDGOMGB,101,1913,2013,101,0,0,1960.0,1960.0,18,5,13,1942.0,1959.0,True,ssb,Acadian redfish Gulf of Maine / Georges Bank,Sebastes fasciatus,US East Coast,Gulf of Maine / Georges Bank,ASAP,USA,1913.0,2013.0,101,Sebastidae
ACMACKSARG,25,1990,2014,25,0,0,,,0,0,0,,,False,ssb,Argentine chub mackerel Southern Argentina,Scomber colias,South America,Southern Argentina,ASPM,Argentina,1990.0,2014.0,25,Scombridae
ALBANPAC,23,1993,2015,23,0,0,,,0,0,0,,,False,ssb,Albacore tuna North Pacific,Thunnus alalunga,Pacific Ocean,North Pacific Ocean,SS3,Multinational,1993.0,2015.0,23,Scombridae
ALBASPAC,54,1960,2013,54,0,0,,,20,0,20,1989.0,2008.0,False,ssb,Albacore tuna South Pacific Ocean,Thunnus alalunga,Pacific Ocean,South Pacific Ocean,Unknown,multinational,1960.0,2013.0,54,Scombridae
ALPLAICBSAI,39,1975,2013,39,0,0,,,5,0,5,2004.0,2008.0,False,ssb,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,US Alaska,Bering Sea and Aleutian Islands,Unknown,USA,1975.0,2013.0,39,Pleuronectidae
ALSKABSAI,65,1950,2014,65,0,0,,,31,0,31,1979.0,2009.0,False,ssb,Alaska skate Bering Sea and Aleutian Islands,Bathyraja parmifera,US Alaska,Bering Sea and Aleutian Islands,SS3,USA,1950.0,2014.0,65,Arhynchobatidae
AMPL23K,20,1979,1998,20,0,0,1992.0,1992.0,0,0,0,,,False,ssb,American Plaice NAFO-23K,Hippoglossoides platessoides,Canada East Coast,Labrador - NE Newfoundland,Unknown,Canada,1979.0,1998.0,20,Pleuronectidae
AMPL3LNO,43,1960,2002,43,0,0,1992.0,1992.0,3,3,0,1989.0,1991.0,True,ssb,American Plaice NAFO-3LNO,Hippoglossoides platessoides,Canada East Coast,Grand Banks,VPA,multinational,1960.0,2002.0,43,Pleuronectidae
AMPL4T,32,1976,2007,32,0,0,1997.0,1997.0,0,0,0,,,False,ssb,American plaice Southern Gulf of St. Lawrence,Hippoglossoides platessoides,Canada East Coast,Southern Gulf of St. Lawrence,VPA,Canada,1976.0,2007.0,32,Pleuronectidae
AMPL5YZ,34,1980,2013,34,0,0,,,0,0,0,,,False,ssb,American Plaice NAFO-5YZ,Hippoglossoides platessoides,US East Coast,Gulf of Maine / Georges Bank,VPA,USA,1980.0,2013.0,34,Pleuronectidae
ANCHMEDGSA17-18,41,1975,2015,41,0,0,1985.0,1985.0,0,0,0,,,False,ssb,Anchovy Adriatic Sea,Engraulis encrasicolus,Mediterranean-Black Sea,"Adriatic Sea (GSA 17,18)",SAM,multinational,1975.0,2015.0,41,Engraulidae
ANCHMEDGSA29,27,1988,2014,27,0,0,,,0,0,0,,,False,ssb,Anchovy Black Sea,Engraulis encrasicolus,Mediterranean-Black Sea,Black Sea,XSA,multinational,1988.0,2014.0,27,Engraulidae
ANCHOSA,31,1984,2014,31,0,0,,,0,0,0,,,False,ssb,Anchovy South Africa,Engraulis encrasicolus,South Africa,South Africa,SCA,South Africa,1984.0,2014.0,31,Engraulidae
APOLLNSJ,32,1980,2011,32,0,0,2006.0,2006.0,0,0,0,,,False,ssb,Walleye pollock Sea of Japan North,Theragra chalcogramma,Russia Japan,Sea of Japan North,Unknown,Japan,1980.0,2011.0,32,Gadidae
APOLLPJPN,33,1981,2013,33,0,0,,,0,0,0,,,False,ssb,Walleye pollock Pacific Coast of Japan,Theragra chalcogramma,Russia Japan,Pacific Coast of Japan,Unknown,Japan,1981.0,2013.0,33,Gadidae
ARFLOUNDBSAI,38,1976,2013,38,0,0,,,4,0,4,2005.0,2008.0,False,ssb,Arrowtooth flounder Bering Sea and Aleutian Islands,Atheresthes stomias,US Alaska,Bering Sea and Aleutian Islands,Unknown,USA,1976.0,2013.0,38,Pleuronectidae
ARFLOUNDGA,54,1961,2014,54,0,0,,,20,0,20,1990.0,2009.0,False,ssb,Arrowtooth flounder Gulf of Alaska,Atheresthes stomias,US Alaska,Gulf of Alaska,Unknown,USA,1961.0,2014.0,54,Pleuronectidae
ARFLOUNDPCOAST,102,1914,2015,102,0,0,,,68,0,68,1943.0,2010.0,False,ssb,Arrowtooth flounder Pacific Coast,Atheresthes stomias,US West Coast,Pacific Coast,SS2,USA,1914.0,2015.0,102,Pleuronectidae
ARGANCHONARG,26,1990,2015,26,0,0,,,0,0,0,,,False,ssb,Argentine anchoita Northern Argentina,Engraulis anchoita,South America,Northern Argentina,unknown,Argentina,1990.0,2015.0,26,Engraulidae
ARGANCHOSARG,25,1990,2014,25,0,0,,,0,0,0,,,False,ssb,Argentine anchoita Southern Argentina,Engraulis anchoita,South America,Southern Argentina,ASPM,Argentina,1990.0,2014.0,25,Engraulidae
ARGHAKENARG,28,1986,2013,28,0,0,,,0,0,0,,,False,ssb,Argentine hake Northern Argentina,Merluccius hubbsi,South America,Northern Argentina,XSA,Argentina,1986.0,2013.0,28,Merlucciidae
ARGHAKESARG,24,1990,2013,24,0,0,,,0,0,0,,,False,ssb,Argentine hake Southern Argentina,Merluccius hubbsi,South America,Southern Argentina,XSA,Argentina,1990.0,2013.0,24,Merlucciidae
ATBTUNAEATL,45,1968,2012,45,0,0,,,11,0,11,1997.0,2007.0,False,ssb,Bluefin tuna Eastern Atlantic,Thunnus thynnus,Atlantic Ocean,Eastern Atlantic,VPA,multinational,1968.0,2012.0,45,Scombridae
ATBTUNAWATL,36,1974,2009,36,0,0,,,2,0,2,2003.0,2004.0,False,ssb,Bluefin tuna Western Atlantic,Thunnus thynnus,Atlantic Ocean,Western Atlantic,VPA,multinational,1974.0,2009.0,36,Scombridae
ATHAL3NOPs4VWX5Zc,44,1970,2013,44,0,0,1993.0,1993.0,0,0,0,,,False,ssb,Atlantic halibut Scotian Shelf and Southern Grand Banks,Hippoglossus hippoglossus,Canada East Coast,Scotian Shelf and Southern Grand Banks,Unknown,Canada,1970.0,2013.0,44,Pleuronectidae
ATKABSAI,38,1977,2014,38,0,0,,,4,0,4,2006.0,2009.0,False,ssb,Atka mackerel Bering Sea and Aleutian Islands,Pleurogrammus monopterygius,US Alaska,Bering Sea and Aleutian Islands,Unknown,USA,1977.0,2014.0,38,Hexagrammidae
ATLCROAKMATLC,30,1973,2002,30,0,0,,,0,0,0,,,False,ssb,Atlantic croaker Mid-Atlantic Coast,Micropogonias undulatus,US East Coast,Mid-Atlantic Coast,AD-CAM,USA,1973.0,2002.0,30,Sciaenidae
AUROCKPCOAST,98,1916,2013,98,0,0,,,64,0,64,1945.0,2008.0,False,ssb,Aurora rockfish Pacific Coast,Sebastes aurora,US West Coast,Pacific Coast,SS3,USA,1916.0,2013.0,98,Sebastidae
AUSSALMONNZ,84,1929,2012,84,0,0,,,50,0,50,1958.0,2007.0,False,ssb,Australian salmon New Zealand,Arripis trutta,New Zealand,New Zealand,CASAL,New Zealand,1929.0,2012.0,84,Arripidae
BGRDRNSWWA,53,1960,2012,53,0,0,,,19,0,19,1989.0,2007.0,False,ssb,Blue grenadier New South Wales to Western Australia,Macruronus novaezelandiae,Australia,New South Wales to Western Australia,SS3,Australia,1960.0,2012.0,53,Merlucciidae
BIGEYECWPAC,52,1952,2003,52,0,0,,,18,0,18,1981.0,1998.0,False,ssb,Bigeye tuna Central Western Pacific,Thunnus obesus,Pacific Ocean,Central Western Pacific Ocean,MULTIFAN-CL,multinational,1952.0,2003.0,52,Scombridae
BIGEYEEPAC,42,1975,2016,42,0,0,,,8,0,8,2004.0,2011.0,False,ssb,Bigeye tuna Eastern Pacific,Thunnus obesus,Pacific Ocean,Eastern Pacific,Unknown,multinational,1975.0,2016.0,42,Scombridae
BIGEYEIO,60,1952,2011,60,0,0,,,26,0,26,1981.0,2006.0,False,ssb,Bigeye tuna Indian Ocean,Thunnus obesus,Indian Ocean,Indian Ocean,SS3,multinational,1952.0,2011.0,60,Scombridae
BIGHTREDSE,55,1960,2014,55,0,0,,,21,0,21,1989.0,2009.0,False,ssb,Bight redfish Southeast Australia,Centroberyx gerrardi,Australia,Southeast Australia,SS3,Australia,1960.0,2014.0,55,Berycidae
BKCDLFENI,86,1923,2008,86,0,0,2001.0,2001.0,49,5,44,1952.0,2000.0,True,ssb,Black cardinalfish East coast of North Island,Epigonus telescopus,New Zealand,East coast of North Island,CASAL,New Zealand,1923.0,2008.0,86,Epigonidae
BLACKGROUPERGMSATL,23,1986,2008,23,0,0,,,0,0,0,,,False,ssb,Black Grouper Gulf of Mexico and South Atlantic,Mycteroperca bonaci,US Southeast and Gulf,Gulf of Mexico and South Atlantic,ASAP,USA,1986.0,2008.0,23,Serranidae
BLACKOREOPR,31,1974,2004,31,0,0,,,0,0,0,,,False,ssb,Black Oreo Pukaki Rise,Allocyttus niger,New Zealand,Pukaki Rise,CASAL,New Zealand,1974.0,2004.0,31,Oreosomatidae
BLACKOREOWECR,34,1973,2006,34,0,0,,,0,0,0,,,False,ssb,Black oreo West end of Chatham Rise,Allocyttus niger,New Zealand,West end of Chatham Rise,CASAL,New Zealand,1973.0,2006.0,34,Oreosomatidae
BLACKROCKCAL,100,1916,2015,100,0,0,1988.0,1988.0,43,5,38,1945.0,1987.0,True,ssb,Black rockfish California,Sebastes melanops,US West Coast,California,SS3,USA,1916.0,2015.0,100,Sebastidae
BLACKROCKORECOAST,124,1892,2015,124,0,0,,,90,0,90,1921.0,2010.0,False,ssb,Black rockfish Oregon,Sebastes melanops,US West Coast,Oregon Coast,SS3,USA,1892.0,2015.0,124,Sebastidae
BLACKROCKWASH,76,1940,2015,76,0,0,,,42,0,42,1969.0,2010.0,False,ssb,Black rockfish Washington,Sebastes melanops,US West Coast,Washington,SS3,USA,1940.0,2015.0,76,Sebastidae
BLSHARNPAC,41,1971,2011,41,0,0,,,7,0,7,2000.0,2006.0,False,ssb,Blue shark North Pacific,Prionace glauca,Pacific Ocean,North Pacific Ocean,SS3,Multinational,1971.0,2011.0,41,Carcharhinidae
BLUEFISHATLC,30,1985,2014,30,0,0,,,0,0,0,,,False,ssb,Bluefish Atlantic Coast,Pomatomus saltatrix,US East Coast,Atlantic Coast,ASAP,USA,1985.0,2014.0,30,Pomatomidae
BMACKECS,22,1992,2013,22,0,0,,,0,0,0,,,False,ssb,Spotted mackerel East China Sea,Scomber australasicus,Russia Japan,East China Sea,Unknown,Japan,1992.0,2013.0,22,Scombridae
BMARLINPAC,41,1971,2011,41,0,0,,,7,0,7,2000.0,2006.0,False,ssb,Blue marlin Pacific Ocean,Makaira nigricans,Pacific Ocean,Pacific Ocean,SS3,Multinational,1971.0,2011.0,41,Istiophoridae
BNSNZ,76,1935,2010,76,0,0,2009.0,2009.0,45,5,40,1964.0,2008.0,True,ssb,Bluenose New Zealand,Hyperoglyphe antarctica,New Zealand,New Zealand,CASAL,New Zealand,1935.0,2010.0,76,Centrolophidae
BRMSOJ,31,1980,2010,31,0,0,,,0,0,0,,,False,ssb,Yellow sea bream Sea of Japan,Dentex tumifrons,Russia Japan,Sea of Japan,Unknown,Japan,1980.0,2010.0,31,Sparidae
BRNSHRIMPGM,31,1984,2014,31,0,0,,,0,0,0,,,False,ssb,Brown shrimp Gulf of Mexico,Farfantepenaeus aztecus,US Southeast and Gulf,Gulf of Mexico,SS3,USA,1984.0,2014.0,31,Penaeidae
BSBASSMATLC,44,1968,2011,44,0,0,,,10,0,10,1997.0,2006.0,False,ssb,Black sea bass Mid-Atlantic Coast,Centropristis striata,US East Coast,Mid-Atlantic Coast,SCALE,USA,1968.0,2011.0,44,Serranidae
BSQLOBSTERCSCH,34,1979,2012,34,0,0,,,0,0,0,,,False,ssb,Yellow squat lobster Central-Southern Chile,Cervimunida johni,South America,Central-Southern Chile,SCALE,Chile,1979.0,2012.0,34,Galatheidae
BSQLOBSTERNCH,28,1985,2012,28,0,0,,,0,0,0,,,False,ssb,Yellow squat lobster Northern Chile,Cervimunida johni,South America,Northern Chile,SCALE,Chile,1985.0,2012.0,28,Galatheidae
BUTTERGOMCHATT,24,1989,2012,24,0,0,,,0,0,0,,,False,ssb,Atlantic butterfish Gulf of Maine / Cape Hatteras,Peprilus triacanthus,US East Coast,Gulf of Maine / Cape Hatteras,ASAP,USA,1989.0,2012.0,24,Stromateidae
BWHITNEA,34,1981,2014,34,0,0,,,0,0,0,,,False,ssb,Blue Whiting Northeast Atlantic,Micromesistius poutassou,European Union,Northeast Atlantic,Unknown,multinational,1981.0,2014.0,34,Gadidae
CABEZNCAL,50,1960,2009,50,0,0,,,16,0,16,1989.0,2004.0,False,ssb,Cabezon Northern California,Scorpaenichthys marmoratus,US West Coast,Northern California,SS3,USA,1960.0,2009.0,50,Cottidae
CABEZORECOAST,37,1973,2009,37,0,0,,,3,0,3,2002.0,2004.0,False,ssb,Cabezon Oregon Coast,Scorpaenichthys marmoratus,US West Coast,Oregon Coast,SS3,USA,1973.0,2009.0,37,Cottidae
CABEZSCAL,50,1960,2009,50,0,0,1995.0,1995.0,6,5,1,1989.0,1994.0,True,ssb,Cabezon Southern California,Scorpaenichthys marmoratus,US West Coast,Southern California,SS3,USA,1960.0,2009.0,50,Cottidae
CALSCORPSCAL,102,1914,2015,102,0,0,1975.0,1975.0,32,5,27,1943.0,1974.0,True,ssb,California scorpionfish Southern California,Scorpaena guttata,US West Coast,Southern California,SS2,USA,1914.0,2015.0,102,Scorpaenidae
CAPEIIa-V-XIV,36,1979,2014,36,0,0,,,2,0,2,2008.0,2009.0,False,ssb,Capelin IIa-V-XIV,Mallotus villosus,Europe non EU,IIa-V-XIV,Unknown,multinational,1979.0,2014.0,36,Osmeridae
CAPENOR,25,1973,2005,33,8,0,,,0,0,0,,,False,ssb,Capelin Barents Sea,Mallotus villosus,Europe non EU,Barents Sea,CapTool,multinational,1973.0,2005.0,25,Osmeridae
CHAKESA,99,1917,2015,99,0,0,1956.0,1956.0,10,5,5,1946.0,1955.0,True,ssb,Shallow-water cape hake South Africa,Merluccius capensis,South Africa,South Africa,AD-CAM,South Africa,1917.0,2015.0,99,Merlucciidae
CHERRCHVX,22,1991,2012,22,0,0,,,0,0,0,,,False,ssb,Chilean Herring Chile Region V-X,Clupea bentincki,South America,Central-Southern Chile,Unknown,Chile,1991.0,2012.0,22,Clupeidae
CHTRACCH,45,1970,2014,45,0,0,2008.0,2008.0,9,5,4,1999.0,2007.0,True,ssb,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,South America,Chilean EEZ and offshore,JJM,multinational,1970.0,2014.0,45,Carangidae
CMACKPJPN,44,1970,2013,44,0,0,1989.0,1989.0,0,0,0,,,False,ssb,Chub mackerel Pacific Coast of Japan,Scomber japonicus,Russia Japan,Pacific Coast of Japan,Unknown,Japan,1970.0,2013.0,44,Scombridae
