stockid,n_obs,start,end,span,n_missing_years,n_zero,onset_year,censor_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window,var_used,stocklong,scientificname,commonname,areaid,region,family,FisheryType,salmon,n_zero_values
ACADREDGOMGB,111,1913,2023,111,0,0,1970.0,1970.0,28,5,23,1942.0,1969.0,True,SSB,Acadian redfish Gulf of Maine / Georges Bank,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,US East Coast,Sebastidae,Rockfish,False,0
ACMACKSARG,30,1990,2019,30,0,0,,,0,0,0,,,False,SSB,Argentine chub mackerel Southern Argentina,Scomber colias,Argentine chub mackerel,Argentina-CFP-ARG-S,South America,Scombridae,Forage Fish,False,0
AFLONCH,14,1998,2011,14,0,0,2004.0,2004.0,0,0,0,,,False,SSB,Alfonsino Chile,Beryx splendens,Alfonsino,multinational-SPRFMO-CHL,South America,Berycidae,Other Marine,False,0
ALBAIO,44,1975,2018,44,0,0,,,10,0,10,2004.0,2013.0,False,SSB,Albacore tuna Indian Ocean,Thunnus alalunga,Albacore tuna,multinational-IOTC-IO,Indian Ocean,Scombridae,Tuna and Marlin,False,0
ALBANPAC,25,1994,2018,25,0,0,,,0,0,0,,,False,SSB,Albacore tuna North Pacific Ocean,Thunnus alalunga,Albacore tuna,multinational-ISC-NPAC,Pacific Ocean,Scombridae,Tuna and Marlin,False,0
ALBASPAC,60,1960,2019,60,0,0,,,26,0,26,1989.0,2014.0,False,SSB,Albacore tuna South Pacific Ocean,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,Scombridae,Tuna and Marlin,False,0
ALPLAICBSAI,47,1975,2021,47,0,0,,,13,0,13,2004.0,2016.0,False,SSB,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,US Alaska,Pleuronectidae,Flatfish,False,0
ALSKABSAI,71,1950,2020,71,0,0,,,37,0,37,1979.0,2015.0,False,SSB,Alaska skate Bering Sea and Aleutian Islands,Bathyraja parmifera,Alaska skate,USA-NMFS-BSAI,US Alaska,Arhynchobatidae,Sharks Rays and Skates,False,0
AMPL23K,25,1979,2003,25,0,0,1992.0,1992.0,0,0,0,,,False,SSB,American plaice Labrador - NE Newfoundland,Hippoglossoides platessoides,American plaice,Canada-DFO-23K,Canada East Coast,Pleuronectidae,Flatfish,False,0
AMPL3LNO,48,1960,2007,48,0,0,1992.0,1992.0,3,3,0,1989.0,1991.0,True,SSB,American plaice Grand Banks,Hippoglossoides platessoides,American plaice,multinational-NAFO-3LNO,Canada East Coast,Pleuronectidae,Flatfish,False,0
